CCN	TopQuartile	HAC
060044	N	2
060049	N	2
060054	N	4.425
060064	Y	7.375
060065	N	6.375
060071	N	3.675
060075	Y	7.6
060076	Y	8
060096	Y	9
060100	Y	8.025
060103	N	5.4
060104	N	5.75
060107	N	7
060112	N	6.075
060113	Y	7.675
060114	N	6.05
060116	N	5.6
060117	N	4
060118	N	4
060119	N	5
060124	Y	8
060125	N/A	0
070002	N	6.675
070003	N	3.95
070004	N	6.6
070005	Y	9.35
070006	Y	9.025
070007	N	5.6
070008	Y	7.3
070010	Y	8.7
070011	N	6.85
070012	Y	7.375
070015	N	1
070016	N	6.375
070017	N	5.05
070018	N	6.325
070019	N	6.075
070020	N	4.975
070021	Y	7.9
070022	Y	7.7
070024	N	6.875
070025	Y	9.025
070027	Y	7.375
070028	N	5.325
070029	N	4.725
070031	N	4.275
070033	Y	9.675
070034	Y	7.675
070035	Y	8.05
070036	Y	9.35
070038	Y	8.95
070039	N	6
070040	N	7
080001	N	6.3
080003	N	5.25
080004	Y	7.225
080006	Y	7.025
080007	N	3.7
080009	N	3.925
090001	Y	8.975
090003	N	6.575
090004	Y	7.725
090005	Y	8.275
090006	Y	7.625
090008	N	6.375
090011	Y	8.375
100001	Y	9.025
100002	N	3.975
100006	N	6.7
100007	N	6.7
100008	Y	7.675
100009	N	4.8
100012	Y	7.725
100014	N	6.375
100017	N	6.55
100018	N	3.025
100019	N	5.4
100022	Y	7.4
100023	Y	7.325
100025	Y	7.25
100026	N	3.275
100028	N	1
100029	Y	7.2
100030	N	5.225
100032	N	6.75
100034	N	6.725
100035	Y	7.9
100038	N	5.75
100039	Y	7.375
100040	N	4.575
100043	N	5
100044	N	4.75
100045	N	5.05
100046	N	3.775
100047	N	4.275
100048	N	6
100049	N	6.7
100050	N	5.225
100051	Y	10
100052	N	6.675
100053	N	4.25
100054	N	2.65
100055	N	2.05
100057	Y	7.375
100062	N	4.25
100063	N	6.7
100067	Y	7.375
100068	N	5.875
100069	Y	7.35
100070	Y	10
100071	N	6.925
100072	N	3.725
100073	N	3.3
100075	N	6.725
100076	N	6.2
100077	N	6.075
100080	N	5.675
100081	N	2.4
100084	Y	7.25
100086	N	4.375
100087	Y	7.225
100088	N	5.65
100090	N	5.075
100092	N	6.9
100093	N	5.9
100099	N	3.4
100102	N	3.1
100105	N	6.65
100106	N	3
100107	N	6.95
100109	N	5.625
100110	N	3.95
100113	N	4.325
100117	N	4.675
100118	N	5.075
100121	N	5.675
100122	N	4.325
100124	N	3.075
100125	N	2
100126	N	6.7
100127	N	6.4
100128	Y	7.725
100130	N	6.025
100131	N	3.65
100132	N	2.95
100134	Y	8.95
100135	N	3.6
100137	Y	7.4
100140	N	1
100142	N	5.9
100150	N	6.725
100151	N	4.95
100154	N	6.95
100156	N	2.4
100157	N	5.55
100161	Y	7.225
100166	N	6.6
100167	N	5.975
100168	N	4.975
100173	N	5.925
100175	N	5.65
100176	N	4.775
100177	N	4.425
100179	Y	7.35
100180	Y	7.55
100181	N	3.625
100183	N	5.225
100187	Y	7.3
100189	N	6.875
100191	N	6.05
100200	Y	7.225
100204	N	6.525
100206	N	4.7
100209	Y	8.625
100211	N	5.6
100212	N	3.3
100213	N	4.675
100217	N	5.275
100220	Y	9.025
100223	N	4.35
100224	N	4.7
100226	N	5.875
100228	N	6.275
100230	N	5.275
100231	N	4.925
100232	N	6.2
100234	N	4.925
100236	N	6
100238	N	6.925
100239	N	2.675
100240	N	6
100242	N	3.05
100243	N	6.25
100244	Y	7.4
100246	N	3
100248	N	4.45
100249	N	3.7
100252	N	1.65
100253	Y	7.075
100254	N	6.65
100255	N	5.1
100256	N	5.225
100258	N	1.65
100259	N	6.425
100260	N	3.375
100264	N	3
100265	N	5.025
100266	N	4.575
100267	N	1
100268	N	4.275
100269	N	4
100275	N	4.575
100276	Y	9.3
100277	N	7
100281	N	6.35
100284	N	1.35
100285	N	6
100286	N	6.575
100287	N	4.975
100288	N	4.675
100289	N	2.025
100290	N	6.575
100291	Y	7.3
100292	N	4.575
100296	N	6.075
100298	N/A	0
100299	N	4.925
100302	Y	7.05
100307	N	4.025
100313	N	5
100314	N	6.075
100315	N	4.425
100316	N	6.025
100319	N	4.75
100320	N/A	0
100321	N/A	0
100322	N/A	0
110001	N	7
110002	N	1.35
110003	Y	7.975
110004	Y	7.075
110005	N	6.05
110006	N	2
110007	N	6.2
110008	N	5.1
110010	Y	8
110011	N	2.95
110015	N	3.725
110016	N	1.65
110018	N	5.275
110023	N	1
110024	Y	8.35
110025	N	5.575
110026	N	7
110027	N	2
110028	N	5.575
110029	N	3.625
110030	Y	8.675
110031	N	6.2
110032	N	5.45
110034	Y	7.725
110035	Y	8.35
110036	Y	7.725
110038	N	4.625
110039	N	6.3
110040	N	2.75
110041	N	3.1
110042	N	7
