CCN	TopQuartile	HAC
500005	N	6.375
500007	N	4.95
500008	N	3.975
500011	N	4.325
500012	Y	8
500014	N	4.7
500015	Y	9.35
500016	N	4.025
500019	N	3.8
500021	N	4.8
500024	N	3.95
500025	Y	8.375
500026	N	4.75
500027	Y	8.05
500030	Y	7.025
500031	N	5.675
500033	N	6.4
500036	N	6.625
500037	N	6.65
500039	N	4.25
500041	N	6.875
500044	Y	9.675
500049	N	3.1
500050	N	7
500051	N	6
500052	N/A	0
500053	Y	7.625
500054	Y	8.025
500058	Y	7.725
500060	Y	7.6
500064	Y	7.4
500072	N	5.35
500077	Y	7.95
500079	Y	7.075
500084	N	4
500088	Y	7.4
500108	N	5.75
500119	N	4.425
500124	N	6.6
500129	N	6.425
500139	N	6.4
500141	N	3.375
500148	Y	8
500150	N	6
500151	N	5.7
500152	N	6
510001	N	4.8
510002	N	4.625
510006	N	2.3
510007	N	5
510008	N	1.35
510012	N	5
510013	N	2.05
510022	N	6.4
510023	N	5.575
510024	N	4.275
510029	Y	7.65
510030	N	1.35
510031	N	3.6
510038	Y	7.9
510039	Y	9.65
510046	N	3.975
510047	N	2.325
510048	N	3.025
510050	N	3.925
510053	Y	9
510055	Y	7.65
510058	Y	7.05
510059	N/A	0
510062	N	6.725
510070	N	5.45
510071	N	4.625
510072	Y	9
510077	N	2.05
510082	N	7
510085	Y	7.225
510086	N	5
520002	Y	7.25
520004	N	2.05
520008	N	5.35
520009	N	6.9
520011	N	3
520013	N	5.1
520017	N	6
520019	N	3.8
520021	N	2
520027	N	4.9
520028	N	6.725
520030	Y	7.325
520033	N	5
520034	N	5
520035	N	5
520037	Y	7.4
520038	N	3.1
520041	N	4.15
520044	N	3.1
520045	N	4.75
520048	Y	8.275
520049	N	4.275
520051	N	4.775
520057	N	1.7
520059	N	1
520062	N	4.425
520063	N	6.7
520066	N	5.35
520070	Y	8.35
520071	N	7
520075	Y	7.025
520076	N	5
520078	Y	7.95
520083	N	5
520087	N	5
520088	N	5.675
520089	Y	7.3
520091	N	4
520095	N	3
520096	Y	9
520097	N	4
520098	Y	8.7
520100	N	4.275
520102	N	4.45
520103	N	4.65
520107	Y	9.65
520109	Y	9
520113	N	2.65
520116	Y	8
520136	Y	8.35
520138	N	6
520139	N	4.725
520160	Y	7.075
520177	N	5.025
520189	Y	8.025
520193	N	6.725
520194	N	5
520195	N/A	0
520196	N	4
520198	N	2.75
520202	N	2.65
520204	N	6.675
520205	Y	9
520206	N	5.025
520207	N	6.725
520208	Y	8
530002	N	3.8
530006	N	4.95
530008	N	6
530010	N	3.1
530011	Y	10
530012	N	2.975
530014	N	6.4
530015	N	3
530025	Y	8
530032	N	5
530033	Y	10
670002	N	3
670004	Y	8
670005	N	6
670006	N	3
670007	N/A	0
670008	N	4
670010	N/A	0
670012	N	1
670018	N	6
670019	N	3.925
670021	N	7
670023	N	5.575
670024	N	4.325
670025	Y	10
670029	N	4
670031	N	1.35
670034	N	5.275
670041	N	6.7
670043	N	4
670044	N	3.05
670045	N/A	0
670046	N	4
670047	N	3.45
670049	N	5
670050	N	7
670053	N	6
670054	N	5
670055	N	5.225
670056	N	5.675
670058	N	7
670059	Y	9
670060	N	4.6
670061	N	4
670062	N	7
670066	N	4
670067	N	2
670068	N	5.675
670069	N	4
670071	N	3.75
670072	Y	8.95
670073	N	1.7
670075	N	6.225
670076	N	4
670077	N	3.6
670078	N	7
670079	N	2.75
670080	N	3.375
670082	Y	8.275
670083	N	6
670085	Y	8
670087	N/A	0
670088	N/A	0
670089	N/A	0
670090	N/A	0
670091	N/A	0
		0
* The 75th		0
